Distance (km),Delta Bullington (dB) 0,ITU Sperical Earth Diffraction (dB) 0,Fresnel-Kirchoff (dB) 0,ITU Single Rounded (dB) 0,Bullington (dB) 0,Epstein Peterson (dB) 0,Deygout (dB) 0,Giovaneli (dB) 0,Deygout Rounded (dB) 0,ITU Two Edge (dB) 0,ITU Two Rounded (dB) 0,Distance (km).1,Delta Bullington (dB) 1,Bullington (dB) 1,Epstein Peterson (dB) 1,Deygout (dB) 1,Giovaneli (dB) 1,Deygout Rounded (dB) 1,ITU Two Edge (dB) 1,ITU Two Rounded (dB) 1,Distance (km).2,Delta Bullington (dB) 2,ITU Sperical Earth Diffraction (dB) 2,Fresnel-Kirchoff (dB) 2,ITU Single Rounded (dB) 2,Bullington (dB) 2,Epstein Peterson (dB) 2,Deygout (dB) 2,Giovaneli (dB) 2,Deygout Rounded (dB) 2,ITU Two Edge (dB) 2,ITU Two Rounded (dB) 2,Distance (km).3,Delta Bullington (dB) 3,ITU Sperical Earth Diffraction (dB) 3,Fresnel-Kirchoff (dB) 3,ITU Single Rounded (dB) 3,Bullington (dB) 3,Epstein Peterson (dB) 3,Deygout (dB) 3,Giovaneli (dB) 3,Deygout Rounded (dB) 3
42.0,11.582749305704949,0.0,0.0,0.0,35.16660826580765,0.05962529980958078,-0.0377905168466344,-0.039993154278153885,-18.79491193708812,0.0,0.0,42.0,12.754759352567318,12.527080654381553,-0.002009160169460081,0.1526016728143614,0.14280881913191085,74.04951824216147,0.0,0.0,,,,,,,,,,,,,40.51112702,7.734079681947353,0.0,0.0,0.0,34.87287920290862,0.9611898809276952,-0.007527200217670244,-0.0666951967688001,182.82175588980476
44.0,26.21594714973213,0.0,0.0,0.0,34.91142333873276,0.04610219845618914,-0.03872806775722867,-0.029370531348712734,4.709282758868664,0.0,0.0,44.0,12.841611518060544,12.397035010368544,-0.3372383758498691,0.14463947282970985,0.12304294778359086,85.34209622984146,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
46.0,12.602616407195779,0.0,0.0,0.0,34.7272871279805,0.042642892653309186,-0.03808500075021938,-0.025270918051718355,10.352837481546716,0.0,0.0,46.0,14.346911225543783,12.269790458192036,-0.7626145177007947,0.16276021576095046,0.12288631733348503,98.8544575853283,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
48.0,0.0,0.0,0.0,0.0,34.55412718451073,0.03618735905553125,-0.04312476404677268,-0.02516221900757915,5.446832098351208,0.0,0.0,48.0,18.595707317403583,12.142365830850771,-0.563412021122023,0.16442516629365697,0.1351985723846542,103.5321438330493,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
50.0,2.9260478794491656,0.0,0.0,0.0,34.34756523834494,0.004749903410398645,-0.04875200250051145,-0.02433391679024087,6.377330270569296,0.0,0.0,50.0,22.17182523059313,12.019888347598437,-0.5931733433254599,0.17516662463248153,0.13087625232561492,110.12900184871636,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
52.0,37.146828111781275,0.0,0.0,0.0,34.104643039286906,0.11375316847694647,-0.051650473291298564,-0.02362371900104223,52.22543219336439,0.0,0.0,52.0,28.952346039143546,11.902092848579608,-0.6182530362795511,0.17420702467861607,0.13187501044019684,115.2953669253703,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
54.0,21.06048918313072,0.0,0.0,0.0,33.96220075611461,0.07794715755136258,-0.04438417389474789,-0.009928785793591598,30.926107817396986,0.0,0.0,54.0,29.99029899173808,11.79943940679651,-0.6242641439433237,0.17767714017308878,0.14088554023086816,127.48724061275185,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
56.0,22.640829687787082,0.0,0.0,0.0,33.7930724466644,0.01435299903803287,-0.042816616069840115,-0.022702968838523126,31.097899366999506,0.0,0.0,56.0,30.252533113943066,11.703678325371005,-0.5596593030300532,0.17628492445019742,0.1364216632811531,132.34447295009036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
58.0,22.251102891383667,0.0,0.0,0.0,33.62346365907564,-0.05647293090906643,-0.0338205064811874,-0.015618424350912307,37.10562728404803,0.0,0.0,58.0,31.04056573772829,11.615950186149993,-0.5401210717770528,0.1760889117906399,0.1333097126597951,136.0400526858769,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
60.0,31.506316182269053,0.0,0.0,0.0,33.442394164718685,-0.05629579474678268,-0.037028047643429526,-0.03011312234289328,74.58076242741001,0.0,0.0,60.0,31.361001862473426,11.530252701143578,-0.7217140080528937,0.18517177417066558,0.13072432455796487,125.31053057758258,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
62.0,28.464265702621802,0.0,0.0,0.0,33.28914754786629,0.24357847818589307,-0.04201531094369134,-0.03149915019340673,80.18712207348666,0.0,0.0,62.0,33.31195660480969,11.444403001482861,-0.605377465084671,0.17335214629077614,0.12938237715870055,142.72779816140502,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
64.0,29.41125107704667,0.0,0.0,0.0,33.13320253245425,-0.005503985448876109,-0.040965888102543126,-0.031766184722409684,87.32976058236434,0.0,0.0,64.0,35.62157715317043,11.358679258715467,-0.6094829362152937,0.17770360228872611,0.13374754559966617,153.33139809875422,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
66.0,32.924286932431365,0.0,0.0,0.0,32.96996616994524,0.10627438058713248,-0.02198237976758603,-0.040968760906777035,115.93226516169301,0.0,0.0,66.0,36.846779919023795,11.279776881804375,-0.5788265790143221,0.1664712317190426,0.1273302800864167,159.5952706900004,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
68.0,32.81777863145186,0.0,0.0,0.0,32.82673852699268,0.06362362257468501,-0.03343587049326969,-0.03605544994615748,119.95846245420121,0.0,0.0,68.0,38.90001865685973,11.20608655555808,-0.6796962522974684,0.16802170139793987,0.1150784455353195,159.99369400424777,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
70.0,32.654861758739855,0.0,0.0,0.0,32.68963857307337,0.2545706239561723,-0.02827839905730333,-0.03344445304424305,135.27094847937065,0.0,0.0,70.0,40.564837240923765,11.131212646793022,-0.5143721308170058,0.1676015775674565,0.12483120403009425,174.63687616954894,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
72.0,34.844331453506754,0.0,0.0,0.0,32.54777501834874,0.10683158881652621,-0.0327958098401957,-0.029751535833762336,145.66405198100782,0.0,0.0,72.0,41.82270207159948,11.059853864992794,-0.5951021106952896,0.1678826220641431,0.12701777002183928,177.48387687810907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
74.0,33.6841420555591,0.0,0.0,0.0,32.41960102887128,0.04022530767249589,-0.029755611927106348,-0.025976811321569246,141.55662369999962,0.0,0.0,74.0,44.48439304167083,10.992178554288405,-0.626404719811967,0.16292163440766835,0.12308251083280076,179.92477193957941,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
76.0,34.21302014873832,0.0,0.0,0.0,32.29023734396027,0.05911887553489183,-0.025858701635616925,-0.03194912989009995,152.85093911929326,0.0,0.0,76.0,46.15488805189602,10.928314313617646,-0.8028264379999179,0.17284109170026496,0.12195806109665758,190.66735575827087,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
78.0,34.20592970811288,0.0,0.0,0.0,32.17138713412975,-0.09249116538969702,-0.03251890382163034,-0.02371284166389441,163.14513577630373,0.0,0.0,78.0,49.072012173997294,10.86562749462745,-0.8380953272436983,0.16147741211310018,0.13433653690703504,189.7640844130317,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
80.0,34.14432513863203,0.0,0.0,0.0,32.056322484934086,0.3039925786827176,-0.03225544766359938,-0.03521057826814255,162.7365117131735,0.0,0.0,80.0,49.440878121953524,10.807862804852618,-0.8130947150396721,0.1684530068747697,0.1177910190994613,201.1576736979386,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
82.0,33.899960538469514,0.0,0.0,0.0,31.940863699534212,0.0642881932100039,-0.041974224564055015,-0.02121324644413591,165.1259799338034,0.0,0.0,82.0,50.7745740088842,10.751346414448646,-0.5171872742230246,0.16832588015878822,0.12106769591316309,210.94454995689517,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
83.07993853,34.56321395541087,0.0,0.0,0.0,31.880558406814586,-0.018601777167383537,-0.04347050449012049,-0.04002827426329883,152.51818835877702,0.0,0.0,84.0,53.30545210005639,10.692555498369298,-0.9293874937750602,0.1632641675107665,0.11785867713328894,224.22537395479057,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,86.0,54.44921035289696,10.637548931396552,-0.6084399003463616,0.17169061324638762,0.11800277176947072,237.8401556870785,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88.0,55.306015414910306,10.58571251096587,-0.5713415108092355,0.16861476831905267,0.11902567696402924,241.7775322279594,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,90.0,58.24648909290921,10.535870309237707,-0.6243933013655859,0.16580119111985164,0.12280701665323558,249.16733814008094,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92.0,59.87167430428104,10.485461583472087,-0.6059693511402215,0.16992500575049152,0.1171861780323686,262.375448340701,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,94.0,61.898403188104986,10.439341079033817,-0.5464004246671003,0.16711608980461412,0.11660061610674555,272.1138830762028,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
